Rule ID,Category,Scope,Severity,Name,Trigger / Threshold,Engines,Description
border-accent-on-rounded,slop,,warning,Border accent on rounded element,"Computed: non-neutral border on one side, width >= 2px and (max other side <= 1px or w >= 2x max other side), on top/bottom side, with border-radius > 0. Tailwind: border-*-N with any rounded-* class and N >= 1. CSS text: border-*-width >= 3px on a line that also declares border-radius. Skipped for BORDER_SAFE_TAGS and status contexts.","browser, static-html, text",Thick accent border on a rounded card — the border clashes with the rounded corners. Remove the border or the border-radius.
flat-type-hierarchy,slop,type,warning,Flat type hierarchy,"Dominant font size per role (body, h1..h6); needs >= 3 roles (TYPE_HIERARCHY_MIN_ROLES); sort roles by size; fires when the largest adjacent step ratio < 1.25 (TYPE_HIERARCHY_MIN_STEP_RATIO).","browser, static-html","Dominant heading and body roles are separated by less than 1.25× at every step, leaving the size hierarchy flat. Add at least one stronger size step."
cream-palette,slop,,warning,Cream / beige palette,"isCreamColor(body or html own background): min(r,g,b) >= 209 AND r >= g >= b AND 6 <= (r-b) <= 48. Also fires on a Tailwind bg-[...] arbitrary value or bg-<token> whose hex is cream.","browser, static-html","A warm cream or beige page background has become the default ""tasteful"" AI surface, reached for by reflex. Choose a background that comes from a deliberate palette, not the safe warm off-white."
monotonous-spacing,slop,layout,warning,Monotonous spacing,Collect padding/margin/gap px + rem + Tailwind spacing scale values; round each to the nearest 4px; require >= 10 values; fires when the single most common value is > 60% of them AND the set of distinct non-zero values is <= 3.,"browser, static-html, text","The same spacing value used everywhere — no rhythm, no variation. Use tight groupings for related items and generous separations between sections."
bounce-easing,slop,,warning,Bounce or elastic easing,"animation / animation-name value matching bounce|elastic|wobble|jiggle|spring; Tailwind animate-bounce; or any cubic-bezier(x1,y1,x2,y2) with y1 < -0.1 or y1 > 1.1 or y2 < -0.1 or y2 > 1.1 (overshoot). Skipped for SAFE_TAGS.","browser, static-html, text",Bounce and elastic easing feel dated and tacky. Real objects decelerate smoothly — use exponential easing (ease-out-quart/quint/expo) instead.
pulsing-dot,slop,,warning,Pulsing status dot,"CSS rule with an infinite animation whose keyframes are a known pulse (or name matches PULSE_NAME_RE), on a box 2px <= w,h <= 16px with a fully round border-radius. Tailwind form: animate-* + rounded-full + a tiny size utility. Severity escalates to error when the selector lands in a header/nav landmark.","browser, static-html","Small pulsing status dots simulate liveness decoratively. Reserve pulse animation for indicators tied to genuinely live, changing data; a static indicator with clear labeling is honest and calmer."
blinking-cursor,slop,,advisory,Decorative blinking cursor,"Element with a blink-type animation that is either a glyph cursor or a block cursor: vertical bar 1-24px wide, 6-48px tall with height >= width; or underscore 1-6px tall, 4-24px wide; border-radius must be < 0.4 x min(w,h); element filled or border-filled. Reported when page_top <= 900px or inside header/nav/[role=banner]/[role=navigation].",browser,"A blinking text cursor animated into a hero or landing section simulates typing where no input exists. It borrows the dev-tool aesthetic as decoration. Real editable fields draw their own caret; anywhere else, let the composition hold attention without a fake prompt."
shape-assembled-illustration,slop,,advisory,Shape-assembled illustration,"Inline <svg> block with <= 2 <text>/<tspan> elements, no <pattern>, >= 8 rect/circle/ellipse/polygon primitives, width and height (or viewBox) both >= 200px, and >= 3 distinct fill colors.","browser, static-html","A large inline SVG that builds a pictorial scene from a pile of primitive shapes reads as placeholder clip art, not illustration. Icons, logos, and data graphics are fine at their scale; a hero-sized visual deserves real artwork, a photograph, or a deliberately drawn graphic."
organic-clip-path,quality,,warning,Organic contour drawn as clip-path,"clip-path: path(...) with >= 3 curve commands (C,S,Q,T,A upper or lower case); or clip-path: polygon(...) with >= 10 vertices (ORGANIC_POLYGON_MIN_VERTICES) where every numeric value is more than 0.5 off the nearest multiple of 25.","browser, static-html","A clip-path polygon with many arbitrary vertices, or a curved clip-path path(), is CSS approximating a torn edge, blob, or silhouette. It reads as the cheap version of the effect and is usually a produced or photographic material replaced with code. Derive an alpha matte from the real image, or ship the shape as a cut-out raster; keep clip-path for geometry (cut corners, diagonals, hexagons)."
buried-raster,quality,,warning,Raster buried under a wash or opacity,Computed: <img> or an element with a background url() at 0 <= opacity < 0.15. CSS text: a background shorthand where every gradient layer that precedes the first url() has all color-stop alphas >= 0.9 (a near-opaque wash over the image).,"browser, static-html","A background image under a near-opaque gradient wash, or a raster on an element at near-zero opacity, never reaches the screen: the page shows the wash, and the produced texture or photo ships as a compliance token. Let the material show (a tint under 0.9 alpha, a blend mode, an opacity you can see) or remove the file."
dark-glow,slop,,warning,Glowing shadow accents,"box-shadow / text-shadow layer whose color has chroma >= 30 and blur > 4px, and either zero x and y offset (a halo), or any offset while the resolved background is dark.","browser, static-html, text","Colored glow shadows — a zero-offset chromatic halo (box- or text-shadow) on any background, or any colored blurred shadow on a dark background — are the default ""cool"" look of AI-generated UIs. Use neutral elevation shadows and subtle, purposeful lighting instead."
radial-halo,slop,,warning,Radial-gradient background halo,"Only on a page whose root background is dark. A background radial-gradient (not url()) with >= 2 color stops, no stop positioned within 24px, first stop chromatic and last stop transparent/near-transparent.","browser, static-html, text","A chromatic radial-gradient wash — saturated at the center, fading to transparent — used as a decorative background glow on a dark page. Same tell as glowing shadows, drawn with a gradient instead of a shadow. Ground the surface with a solid or subtly shifted background instead."
radial-spotlight-glow,slop,,warning,Decorative radial spotlight glow,"Radial gradient with 1-2 colored stops (alpha > 0.05), no stop with alpha >= 0.45, at least one stop with chroma >= 24, painted on a surface >= 240x160px.","browser, static-html","A soft, low-opacity accent-colored radial gradient fading to transparent, dropped behind a hero or section as a ""spotlight."" It is a reflex AI decoration — the translucent cousin of the saturated radial halo. Let the surface stand on its own, or light the composition with a deliberate material accent rather than a floating colored haze."
marquee,slop,,warning,Auto-scrolling marquee,A <marquee> element in markup; or a CSS rule with an infinite animation whose keyframes translate horizontally (marquee keyframes).,"browser, static-html, text",Continuously auto-scrolling content demands attention it has not earned and hides half its content at any moment. Reserve motion for content that changes; let readers move at their own pace.
numbered-section-labels,slop,type,advisory,Tiny numbered section labels,"At least 2 numbered-label candidates on the page (min_count = 2) with at least 2 distinct index values. A candidate label is mono, or weight >= 600, or letter-spacing >= 0.5, or uppercase, or in an accent color.","browser, static-html","Small numeric index labels riding next to section headings, repeated section after section, are AI editorial scaffolding — a page numbering its own chapters instead of earning structure. Let hierarchy, content, and rhythm carry the sequence."
em-dash-overuse,slop,,advisory,Em-dash overuse,Count of em-dashes in rendered body text (matching the char or `--` followed by non-whitespace). Fires when count >= 8 (EM_DASH_FLOOR) AND text length <= count x 500 (EM_DASH_CHARS_PER_DASH) — i.e. denser than one per 500 chars.,"browser, static-html, text","Em-dash saturation in body copy is an AI cadence tell. Advisory only: humans use em-dashes legitimately, so this fires only on saturation — at least 8 em-dashes (— or --) at a density near one per 500 characters of body text — never on a long article that uses a few. Prefer commas, colons, periods, or parentheses."
marketing-buzzword,slop,,warning,Marketing buzzword,"Any occurrence (count >= 1) in stripped body text of a 32-phrase list: streamline your, empower your, supercharge your, unleash your, unleash the power, leverage the power, built for the modern, trusted by leading, trusted by the world, best-in-class, industry-leading, world-class, enterprise-grade, next-generation, cutting-edge, transform your business, revolutionize, game-changer, game changing, mission-critical, best of breed, future-proof, future proof, seamless experience, seamlessly integrate, drive engagement, drive growth, drive results, harness the power.",text,Generic SaaS phrases (streamline / empower / supercharge / world-class / enterprise-grade / next-generation / cutting-edge / etc) are instant AI tells. Pick a specific verb and noun that says what the product literally does.
aphoristic-cadence,slop,,warning,Aphoristic-cadence copy,"Count of two constructions in stripped body text: /\bNot an? [a-z][^.!?]{1,40}[.!]\s+[A-Z][^.!?]{1,60}[.!]/ and /\b[A-Z][^.!?]{4,80}[.!]\s+(No|Just)\s+[a-z][^.!?]{2,60}[.!]/. Fires at count >= 3.",text,"Three or more sections landing on a short rebuttal sentence (""X. No Y."" / ""X. Just Y."") or a manufactured-contrast aphorism (""Not a feature. A platform."") reads as AI cadence, not voice. Once is fine; the pattern is the tell."
oversized-h1,slop,type,warning,Oversized hero headline,h1 with font-size >= 72px AND >= 40 chars of text. When a rect and viewport are known it must also dominate: height/viewport-height >= 0.28 OR area/viewport-area >= 0.25.,"browser, static-html","A full-sentence headline set at display size ends up dominating the viewport, leaving no room for anything else above the fold. A punchy one- or two-word headline at that size is fine — the problem is a long headline blown up too large. Set long headlines smaller, or tighten the copy."
extreme-negative-tracking,slop,type,warning,Crushed letter spacing,Element with direct text > 20 chars where letter-spacing / font-size <= -0.05em.,"browser, static-html","Letter-spacing pulled tighter than the point where characters keep their own shapes costs legibility. Tighten display type optically, not destructively."
broken-image,quality,,warning,Broken or placeholder image,"<img> with an empty or placeholder src, or an <img> tag carrying no src attribute at all.","static-html, text","<img> tags with empty src, missing src, or placeholder values ship as broken-image boxes. Use real images, generated assets, or remove the tag."
script-error,quality,,error,Uncaught script error on load,Any page error surfaced by the browser during the run (first 3 reported).,browser,"A script threw an uncaught exception or failed to parse while the page loaded. Broken JavaScript silently kills reveals, interactions, and dynamic content, and can leave most of a page invisible. Fix the error before judging anything else."
content-hidden-at-rest,quality,layout,error,Content invisible at rest,After reveal handlers have run: total page text >= 200 chars AND hidden text >= 150 chars AND hidden/total > 0.3 (30%) still at opacity 0 or visibility hidden.,browser,A large share of the page text sits at opacity 0 or visibility hidden even after every reveal handler had a chance to run. This is the failed-reveal signature: the content shipped but never becomes visible. Make content visible by default and let JavaScript enhance its entrance instead of gating its existence.
edge-flush-cards,quality,layout,warning,Cards flush against the scroller edge,Inside a horizontal scroller: a card with a visible background (alpha > 0.5) or >= 2 borders whose gap to the container content edge is < 8px and > -24px while the opposite gutter is >= 6px.,browser,"Cards inside a horizontal scroller or tab panel sit flush against the container edge at rest while keeping a gutter on the other side, so their edges and rounded corners get cut off. Usually the panel is sized wider than its clip box. Keep a consistent inset on both sides."
text-occlusion,quality,layout,warning,Text occluded by an overlapping element,"Three paths. (1) Hit-test sampling: >= 45% of sampled text points covered by another text element, or >= 30% covered by a box; text-over-text additionally requires one side to be a layered element and both not in the same <svg>. (2) Display text >= 40px overhanging a card: horizontal overlap >= 8px, vertical overlap >= 0.5 x line-height, overlap <= 50% of the text width, and the text center-x outside the card. (3) An inline element taller than 2.2 x line-height whose opaque fill overlaps a text-bearing sibling by > 4px on both axes.",browser,"Text is painted under an opaque element or a second text run, so part of it cannot be read. A decorative box, a stacked layer, or an inline element with leaked padding lands on the words instead of beside them. Give overlapping layers room, or move the text out from under the layer above it."
first-viewport-column-overflow,quality,layout,warning,One column stretches the first viewport,A first-viewport multi-column block with >= 2 columns whose tops are within 0.25 x viewport height: fires when the tallest column's content runs > 1.4 x viewport height while the shortest fits inside 1 viewport height.,browser,"A multi-column opening section lets one column run far past the fold while its sibling fits in a single viewport, so the short column floats in dead space and the fold falls deep inside one section. Balance the columns, cap the tall one, or let the long content flow below the opening row."
gray-on-color,quality,,warning,Gray text on colored background,"Text whose color has chroma < 20 with relative luminance between 0.05 and 0.85, on background(s) that all have chroma >= 40. Tailwind form: a text-gray/slate/zinc/neutral/stone utility on the same element as a solid chromatic bg- utility.","browser, static-html, text","Gray text looks washed out on colored backgrounds. Use a darker shade of the background color instead, or white/near-white for contrast."
low-contrast,quality,,warning,Low contrast text,"WCAG AA against the worst resolved background: ratio < 4.5:1, or < 3:1 for large text (font-size >= 24px, or >= 18.67px at weight >= 700). Applies to text, placeholder text, and :hover state colors. Screenshot path (rendered pixels): needs >= 8 sampled glyph ratios; p10 = ratios[floor(0.10 x n)]; fires when p10 < the candidate threshold.","browser, static-html","Text does not meet WCAG AA contrast requirements (4.5:1 for body, 3:1 for large text). Increase the contrast between text and background."
line-length,quality,"type, layout",warning,Line length too long,"Element with direct text longer than lineMax chars (default 80, configurable via lineLengthMax) where estimated chars-per-line (rect.width / (font-size x 0.5)) > lineMax + 5.",browser,Text lines wider than ~80 characters are hard to read. The eye loses its place tracking back to the start of the next line. Add a max-width (65ch to 75ch) to text containers.
cramped-padding,quality,layout,warning,Cramped padding,"Two forms. (1) Text box (> 20 chars, > 100x30px, not inline code) with >= 2 borders or a visible background: vertical padding < max(4px, font-size x 0.3) or horizontal padding < max(8px, font-size x 0.5). (2) Children sitting flush against a container's own border/outline/background boundary with no inset.","browser, static-html","Text is too close to the edge of its container. Two shapes: (1) an element with its own text where the padding is too low for the font size, and (2) a wrapper with text-bearing children and near-zero padding against a visible boundary (border, outline, or non-transparent background) — children land flush against the boundary line. Add at least 8px (ideally 12–16px) of padding inside bordered, outlined, or colored containers."
body-text-viewport-edge,quality,layout,warning,Body text touching viewport edge,"<p> or <li> with > 40 chars, not inside nav/header, with no own background and not absolutely/fixed positioned, whose width is > 50% of the viewport and whose left edge is < 16px or right edge is within 16px of the viewport edge.",browser,"Body paragraphs render flush against the left or right viewport edge with no container providing horizontal padding. Wrap content in a container with at least 16px (ideally 24-32px) of horizontal padding, or apply max-width with mx-auto."
tight-leading,quality,type,warning,Tight line height,Non-heading element with direct text > 50 chars where line-height / font-size < 1.3.,"browser, static-html",Line height below 1.3x the font size makes multi-line text hard to read. Use 1.5 to 1.7 for body text so lines have room to breathe.
heading-rhythm,quality,"layout, type",warning,Heading crowded against the previous block,"Heading with >= 3 chars, not inside a small card (CARD_EXEMPT_HEIGHT 200px): space below between 6px and 160px (MAX_BELOW_PX), space above < 0.75 x space below, and (below - above) >= 12px (MIN_DEFICIT_PX). Reported only when >= 2 headings qualify (MIN_VIOLATIONS).",browser,"A heading binds to the content it introduces, so the rendered space above it should exceed the space below it. When headings across a page sit as close or closer to the block above than to their own content, every section reads as if it captions the previous one. Open up the space above each heading."
justified-text,quality,type,warning,Justified text,text-align: justify on an element with direct text while hyphens (or -webkit-hyphens) is not auto.,"browser, static-html","Justified text without hyphenation creates uneven word spacing (""rivers of white""). Use text-align: left for body text, or enable hyphens: auto if you must justify."
tiny-text,quality,type,warning,Tiny body text,"Direct text > 20 chars at font-size < 12px. Skipped for sub, sup, code, kbd, samp, var, caption, figcaption; skipped in UI contexts, when uppercase, and for non-rendered text.","browser, static-html","Body text below 12px is hard to read, especially on high-DPI screens. Use at least 14px for body content, 16px is ideal."
undersized-ui-text,quality,type,warning,Undersized functional text,"Direct text of >= 2 chars at font-size < 11px (floor drops to 10px for non-interactive small-print contexts) on interactive elements, page furniture, or any run <= 20 chars. Skipped for sub, sup, option, exempt contexts, and visually hidden text.","browser, static-html","Interactive and content-bearing UI text (links, buttons, nav items, labels, table cells, meta rows, timecodes) below 11px is a legibility failure, not a style choice. WCAG sets no absolute pixel floor, but functional text under 11px is a defensible quality bar: it fails on high-DPI and small viewports and it degrades tap and read targets. The 11px floor holds even inside a footer; only non-interactive legal smallprint gets the softer 10px floor. Being ON the DESIGN.md size ramp does not exempt a value here: adding 8px to the ramp launders the token but not the legibility problem, and that is exactly the escape hatch this rule closes. Exempts sup/sub, visually-hidden (sr-only) text, and code/terminal contexts. Decorative letterspaced micro-labels are still functional and stay in scope."
all-caps-body,quality,type,warning,All-caps body text,Non-heading element with direct text > 30 chars and text-transform: uppercase.,"browser, static-html","Long passages in uppercase are hard to read. We recognize words by shape (ascenders and descenders), which all-caps removes. Reserve uppercase for short labels and headings."
wide-tracking,quality,type,warning,Wide letter spacing on body text,"Element with direct text > 20 chars, not uppercase, where letter-spacing / font-size > 0.05em.","browser, static-html",Letter spacing above 0.05em on body text disrupts natural character groupings and slows reading. Reserve wide tracking for short uppercase labels only.
text-overflow,quality,layout,warning,Content overflowing its container,"Element with direct text (not screen-reader-only, not inside a scroll region) whose scrollWidth exceeds clientWidth by >= 16px; or, when clientWidth is 0 and no ancestor transform applies, whose right edge spills >= 16px past its nearest non-zero-width container's content box.",browser,"Content renders wider than its container, spilling out or forcing a horizontal scrollbar. Let text wrap, constrain widths, or give the region a deliberate scroll affordance."
repeated-container-text,quality,,warning,Same text repeated inside one container,The same direct text string (containing letters) rendered >= 3 times inside one container across >= 3 distinct ancestor-chain signatures (tag + sorted class list up to the container).,"browser, static-html","The same literal text rendered three or more times in structurally different spots inside a single card or panel is redundant messaging — usually a status or label wired into every slot of a template. Say it once, in the slot where it matters most."
